Palette Size (expressed as 2^n),Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Mean SSIM Index
1,0.6709811687469482,0.722224235534668,0.7848069667816162,0.681614875793457,0.6989507675170898,0.7910835915446747
2,0.7115709781646729,0.6999270915985107,0.7003467082977295,0.6975359916687012,0.7062618732452393,0.8144467256283511
3,0.7336273193359375,0.7490057945251465,0.7360210418701172,0.747931957244873,0.7452828884124756,0.8766299459799193
4,0.7902610301971436,0.7861058712005615,0.7977960109710693,0.7672290802001953,0.767859935760498,0.9107576212385639
5,0.795342206954956,0.7894721031188965,0.8021512031555176,0.7909500598907471,0.79697585105896,0.947073099771596
6,0.817223072052002,0.8211419582366943,0.8297758102416992,0.8231198787689209,0.8197360038757324,0.9649855638825705
7,0.8620800971984863,0.8673279285430908,0.8477029800415039,0.8572342395782471,0.8496558666229248,0.9809554884901465
8,0.8786849975585938,0.8835310935974121,0.8948919773101807,0.877662181854248,0.8789739608764648,0.9857472443141783
