Palette Size (expressed as 2^n),Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Time Taken 6,Time Taken 7,Mean SSIM Index
1,0.7378790378570557,0.7401909828186035,0.7370891571044922,0.7334027290344238,0.7340528964996338,0.735846996307373,0.7319469451904297,0.6054567142858047
2,0.7744979858398438,0.776885986328125,0.7758278846740723,0.7792050838470459,0.7721049785614014,0.7896468639373779,0.7770018577575684,0.7570811101162058
3,0.8242809772491455,0.8290612697601318,0.8469822406768799,0.8249387741088867,0.8175301551818848,0.8279907703399658,0.8173320293426514,0.841723948090658
4,0.8591518402099609,0.8639569282531738,0.8637659549713135,0.8724029064178467,0.8616547584533691,0.8576309680938721,0.858410120010376,0.8959530218336843
5,0.9070711135864258,0.9195950031280518,0.8959598541259766,0.9024088382720947,0.9019110202789307,0.8992187976837158,0.8916690349578857,0.9160618929868279
6,0.9256370067596436,0.9335312843322754,1.0274808406829834,0.930001974105835,0.9442610740661621,0.9362690448760986,0.9388668537139893,0.9372968465799486
7,0.95524001121521,0.9559988975524902,0.9611599445343018,0.9572560787200928,0.9586350917816162,0.9690091609954834,0.9591159820556641,0.9596238506886273
8,0.9940090179443359,1.0091941356658936,1.000723123550415,1.0060622692108154,0.9956977367401123,1.0214838981628418,0.9909110069274902,0.972279459539438
