Palette Size (expressed as 2^n),Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Time Taken 6,Time Taken 7,Mean SSIM Index
1,1.645094871520996,1.631561040878296,1.628021240234375,1.6247341632843018,1.627906084060669,1.6247968673706055,1.6248910427093506,0.7358942639050076
2,1.7565710544586182,1.7545809745788574,1.7547121047973633,1.748429775238037,1.7594389915466309,1.7539639472961426,1.752445936203003,0.8125424065632686
3,1.875856876373291,1.871910810470581,1.8703627586364746,1.8684301376342773,1.8796916007995605,1.877181053161621,1.8658859729766846,0.8601874862269104
4,1.965656042098999,1.9573030471801758,1.95196533203125,1.9595870971679688,1.9665839672088623,1.9575958251953125,1.9960238933563232,0.8922109734464225
5,2.088014841079712,2.049501895904541,2.0582940578460693,2.0435280799865723,2.0508229732513428,2.052103042602539,2.054086923599243,0.9069659423611243
6,2.1554367542266846,2.122631072998047,2.138110876083374,2.121852159500122,2.140136957168579,2.124606132507324,2.119319200515747,0.9325176678716794
7,2.214756965637207,2.213989019393921,2.2054967880249023,2.210724115371704,2.212038993835449,2.2116780281066895,2.2083468437194824,0.9461079790856092
8,2.2981700897216797,2.2906317710876465,2.3028390407562256,2.3944101333618164,2.5817551612854004,2.4401378631591797,2.3064732551574707,0.958686744625204
