Palette Size (expressed as 2^n),Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Time Taken 6,Time Taken 7,Mean SSIM Index
1,1.6413040161132812,1.6164069175720215,1.6208000183105469,1.618023157119751,1.6240200996398926,1.6221849918365479,1.6174020767211914,0
2,1.7475371360778809,1.7362167835235596,1.7847630977630615,1.7396221160888672,1.747838020324707,1.739616870880127,1.7451589107513428,0
3,1.8331689834594727,1.8451497554779053,1.8442540168762207,1.8375468254089355,1.8428449630737305,1.844938039779663,1.8348429203033447,0
4,1.9118719100952148,1.9107141494750977,1.9124877452850342,1.9122350215911865,1.9099647998809814,1.9131460189819336,1.9080679416656494,0
5,2.0224430561065674,2.0495967864990234,2.00521183013916,2.003340005874634,1.999572992324829,2.0603556632995605,2.0127720832824707,0
6,2.087996006011963,2.13690185546875,2.087761878967285,2.0884249210357666,2.1018738746643066,2.1281538009643555,2.0901660919189453,0
7,2.1970748901367188,2.1552257537841797,2.1798369884490967,2.2984619140625,2.219496011734009,2.195509910583496,2.1892778873443604,0
8,2.28659725189209,2.269472122192383,2.3197410106658936,2.2725062370300293,2.234490156173706,2.2269511222839355,2.2387890815734863,0
